username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
fatherflaco,Tech head 🏎 」Save Earth🚀#Cybertruck 📐Community🇺🇸🌍Know thy neighbor #OccupyMars🧡 *Not a priest* 🤯 RTs are not endorsements; I like words,Florida,0,0,26220,2019-12-18 17:13:11,2020-12-08 21:01:10,5,"Elon Musk: “Yes, I have moved to Texas.” 🏣🚀 https://t.co/CKj9QQmgqw $TSLA #Tesla #SpaceX https://t.co/5i9lOMGifx","[{'text': 'Tesla', 'indices': [87, 93]}, {'text': 'SpaceX', 'indices': [94, 101]}]"
fbresk,there are a two special sweet people in my life STELLA and IV ALL my LOVE!,Where my feet touch the ground,1288,265,13070,2009-06-11 12:49:45,2020-12-08 20:58:45,51,"ELON MUSK ON TESLA'S $5 BLN CAPITAL RAISE - WE THOUGHT WE CAN RETIRE A LOT OF THE DEBT AND INCREASE THE SECURITY OF THE COMPANY, HAVE MORE OF A WAR CHEST
$TSLA",[]
caejsar,"City and Regional Study, Real Estate, Professional Engineer, Love New Jersey :)",,34,4,556,2020-08-01 05:13:12,2020-12-08 20:53:36,51,"ELON MUSK ON TESLA'S $5 BLN CAPITAL RAISE - WE THOUGHT WE CAN RETIRE A LOT OF THE DEBT AND INCREASE THE SECURITY OF THE COMPANY, HAVE MORE OF A WAR CHEST
$TSLA",[]
Ginarn1004,,,59,2,285,2019-07-26 00:03:49,2020-12-08 20:50:54,51,"ELON MUSK ON TESLA'S $5 BLN CAPITAL RAISE - WE THOUGHT WE CAN RETIRE A LOT OF THE DEBT AND INCREASE THE SECURITY OF THE COMPANY, HAVE MORE OF A WAR CHEST
$TSLA",[]
DavidEBeker,,"Los Angeles, California",810,63,20683,2013-09-14 05:21:09,2020-12-08 20:41:12,51,"ELON MUSK ON TESLA'S $5 BLN CAPITAL RAISE - WE THOUGHT WE CAN RETIRE A LOT OF THE DEBT AND INCREASE THE SECURITY OF THE COMPANY, HAVE MORE OF A WAR CHEST
$TSLA",[]
7LadyQ,,,1299,1092,73821,2011-07-15 19:25:29,2020-12-08 20:40:49,51,"ELON MUSK ON TESLA'S $5 BLN CAPITAL RAISE - WE THOUGHT WE CAN RETIRE A LOT OF THE DEBT AND INCREASE THE SECURITY OF THE COMPANY, HAVE MORE OF A WAR CHEST
$TSLA",[]
blondenfun1,"PDP00000001 backup account. 🎯Bill of Rights, Common Law, Christian ✝️","New York, USA",424,762,54893,2020-04-04 20:04:39,2020-12-08 20:40:40,51,"ELON MUSK ON TESLA'S $5 BLN CAPITAL RAISE - WE THOUGHT WE CAN RETIRE A LOT OF THE DEBT AND INCREASE THE SECURITY OF THE COMPANY, HAVE MORE OF A WAR CHEST
$TSLA",[]
DhariInv,"An Active investor in NYSE, NASDAQ, and HONG KONG EXCHANGE.",,126,11,775,2020-01-21 14:36:50,2020-12-08 20:39:32,51,"ELON MUSK ON TESLA'S $5 BLN CAPITAL RAISE - WE THOUGHT WE CAN RETIRE A LOT OF THE DEBT AND INCREASE THE SECURITY OF THE COMPANY, HAVE MORE OF A WAR CHEST
$TSLA",[]
Flow06660522,"Fcuk Average!

We need a ticker symbol $ELON !","Manchester, England",332,27,154,2019-08-13 09:45:35,2020-12-08 20:36:14,51,"ELON MUSK ON TESLA'S $5 BLN CAPITAL RAISE - WE THOUGHT WE CAN RETIRE A LOT OF THE DEBT AND INCREASE THE SECURITY OF THE COMPANY, HAVE MORE OF A WAR CHEST
$TSLA",[]
mattforthelikes,"Startup Finance Builder & Strategist.
Disruptive Innovation, Sustainability, Futurism & Sci-Fi.

Currently Reading: Anathem by Neal Stephenson",,105,101,929,2020-07-25 20:06:52,2020-12-08 20:33:21,51,"ELON MUSK ON TESLA'S $5 BLN CAPITAL RAISE - WE THOUGHT WE CAN RETIRE A LOT OF THE DEBT AND INCREASE THE SECURITY OF THE COMPANY, HAVE MORE OF A WAR CHEST
$TSLA",[]
